"","GeneID","Type","Component","Substrate"
"189",2727720953,"ABC","membrane","dipeptide/oligopeptide"
"190",2727720954,"ABC","membrane","dipeptide/oligopeptide"
"193",2727721273,"ABC","membrane","cobalamin/Fe3+-siderophores"
"195",2727721291,"ABC","membrane","branched-chain amino acid"
"197",2727721309,"ABC","membrane","manganese/zinc ion"
"201",2727721594,"ABC","membrane","cobalamin/Fe3+-siderophores"
"204",2727721651,"ABC","membrane","iron(III)"
"212",2727717879,"DMT","SMR","multidrug efflux (SMR)"
"213",2727719530,"DMT","SMR","multidrug efflux (SMR)"
"218",2727718133,"AGCS","unknown","sodium ion:alanine symporter"
"219",2727719020,"AGCS","unknown","sodium ion:alanine symporter"
"222",2727720669,"Amt","unknown","ammonium"
"223",2727717480,"APC","unknown","amino acid"
"224",2727718661,"APC","unknown","amino acid"
"226",2727719173,"APC","unknown","arginine:ornithine antiporter"
"228",2727720271,"APC","unknown","amino acid"
"232",2727719726,"ArAE","unknown","fusaric acid efflux"
"235",2727721464,"ArsB","unknown","arsenite (ArsB)"
"237",2727720340,"BCCT","unknown","glycine betaine/carnitine/choline"
"239",2727719630,"Bestrophin","unknown","Bestrophin anion channel"
"243",2727720977,"CHR","unknown","chromate ion"
"244",2727720978,"CHR","unknown","chromate ion"
"249",2727719874,"ClC","unknown","chloride ion channel"
"251",2727721706,"CNT","unknown","sodium ion:nucleoside symporter"
"252",2727718273,"CPA1","unknown","sodium ion:proton antiporter"
"253",2727718688,"CPA2","unknown","potassium/sodium ion:proton antiporter"
"254",2727720507,"CPA2","unknown","potassium/sodium ion:proton antiporter"
"255",2727718771,"DAACS","unknown","proton/sodium ion:glutamate/aspartate symporter"
"256",2727719075,"DAACS","unknown","proton/sodium ion:glutamate/aspartate symporter"
"263",2727719819,"DMT","unknown","drug/metabolite"
"278",2727720960,"ESS","unknown","sodium ion:glutamate symporter"
"283",2727719596,"F-ATPase","unknown","protons"
"284",2727719597,"F-ATPase","unknown","protons"
"286",2727719599,"F-ATPase","unknown","protons"
"287",2727719600,"F-ATPase","unknown","protons"
"289",2727721210,"FNT","unknown","formate/nitrite"
"291",2727721209,"HAAAP","unknown","serine"
"292",2727719984,"HCC","unknown","hemolysin C (HlyC) homolog"
"294",2727717616,"IIISP","unknown","unknown substrate"
"295",2727717628,"IIISP","unknown","unknown substrate"
"296",2727717634,"IIISP","unknown","unknown substrate"
"298",2727717636,"IIISP","unknown","unknown substrate"
"299",2727717637,"IIISP","unknown","unknown substrate"
"305",2727718497,"IIISP","unknown","unknown substrate"
"313",2727719487,"ILT","unknown","iron ion"
"320",2727718609,"LysE","unknown","amino acid efflux"
"324",2727717908,"MFS","unknown","multidrug efflux"
"325",2727718186,"MFS","unknown","glycerol-3-phosphate"
"326",2727718271,"MFS","unknown","nitrate/nitrite"
"329",2727718766,"MFS","unknown","multidrug efflux"
"330",2727718832,"MFS","unknown","multidrug efflux"
"340",2727719513,"MFS","unknown","multidrug efflux"
"341",2727719518,"MFS","unknown","multidrug efflux (EmrB/QacA subfamily)"
"351",2727720200,"MFS","unknown","multidrug efflux"
"359",2727720928,"MFS","unknown","multidrug efflux (EmrB/QacA subfamily)"
"361",2727721038,"MFS","unknown","multidrug efflux"
"362",2727721056,"MFS","unknown","multidrug efflux"
"363",2727721065,"MFS","unknown","D-galactonate"
"364",2727721119,"MFS","unknown","multidrug efflux"
"371",2727718962,"MgtE","unknown","magnesium ion"
"376",2727720638,"MOP","unknown","multidrug efflux"
"380",2727718710,"Mot/Exb","unknown","unknown substrate"
"381",2727719709,"Mot/Exb","unknown","unknown substrate"
"382",2727719848,"Mot/Exb","unknown","unknown substrate"
"395",2727718489,"MTB","unknown","unknown substrate"
"396",2727719204,"MTB","unknown","unknown substrate"
"398",2727719220,"MTB","unknown","unknown substrate"
"402",2727718993,"NCS2","unknown","xanthine/uracil"
"406",2727721354,"NiCoT","unknown","nickel ion"
"408",2727718844,"Nramp","unknown","manganese/iron ion"
"409",2727719686,"Nramp","unknown","manganese/iron ion"
"411",2727720272,"NSS","unknown","sodium ion:solute symporter"
"416",2727720241,"Oxa1","unknown","60 KD inner membrane protein OxaA homolog"
"420",2727721011,"P-ATPase","unknown","zinc/cadmium/cobalt ion"
"422",2727721381,"P-ATPase","unknown","potassium ion"
"423",2727721382,"P-ATPase","unknown","potassium ion"
"424",2727721383,"P-ATPase","unknown","potassium ion"
"425",2727720774,"PiT","unknown","phosphate"
"427",2727719117,"POT","unknown","proton:dipeptide/tripeptide symporter"
"430",2727717692,"RhtB","unknown","amino acid efflux"
"431",2727718607,"RhtB","unknown","amino acid efflux"
"432",2727718609,"RhtB","unknown","amino acid efflux"
"434",2727720115,"RhtB","unknown","amino acid efflux"
"435",2727720627,"RhtB","unknown","amino acid efflux"
"438",2727721522,"RhtB","unknown","amino acid efflux"
"445",2727718649,"SSS","unknown","sodium ion:proline symporter"
"447",2727719374,"SSS","unknown","sodium ion:proline symporter"
"449",2727719698,"SSS","unknown","sodium ion:proline symporter"
"451",2727720382,"SSS","unknown","sodium ion:proline symporter"
"452",2727721380,"SSS","unknown","sodium ion:proline symporter"
"459",2727720252,"TerC","unknown","tellurium ion efflux"
"461",2727719375,"TRAP-T","unknown","C4-dicarboxylate"
"466",2727717892,"VIC","unknown","potassium ion channel"
"468",2727720103,"YggT","unknown","potassium ion uptake"
