"","GeneID","Type","Component","Substrate"
"291",2508868143,"ABC","membrane","pyoverdin (siderophore) exporter PvdE"
"292",2508868259,"ABC","membrane","unknown substrate"
"293",2508868367,"ABC","membrane","sugar (ribose)"
"294",2508868401,"ABC","membrane","sugar (ribose)"
"305",2508868642,"ABC","membrane","sugar (ribose)"
"308",2508868708,"ABC","membrane","sugar"
"309",2508868709,"ABC","membrane","sugar"
"310",2508868779,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"317",2508868985,"ABC","membrane","molybdate"
"325",2508869050,"ABC","membrane","dipeptide/oligopeptide"
"328",2508869102,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"333",2508869280,"ABC","membrane","cobalamin/Fe3+-siderophores"
"334",2508869290,"ABC","membrane","phosphate"
"335",2508869291,"ABC","membrane","phosphate"
"336",2508869354,"ABC","membrane","protease secretion"
"337",2508869518,"ABC","membrane","sugar (ribose)"
"338",2508869664,"ABC","membrane","heme export"
"339",2508869665,"ABC","membrane","heme export"
"340",2508869749,"ABC","membrane","dipeptide/oligopeptide"
"341",2508869750,"ABC","membrane","dipeptide/oligopeptide"
"342",2508869771,"ABC","membrane","sugar"
"344",2508869902,"ABC","membrane","polysaccharide export"
"349",2508870151,"ABC","membrane","multidrug"
"350",2508870167,"ABC","membrane","branched-chain amino acid"
"351",2508870168,"ABC","membrane","branched-chain amino acid"
"357",2508870519,"ABC","membrane","toluene tolerance"
"359",2508870614,"ABC","membrane","dipeptide/oligopeptide"
"360",2508870629,"ABC","membrane","multidrug"
"361",2508870639,"ABC","membrane","dipeptide/oligopeptide"
"362",2508870640,"ABC","membrane","dipeptide/oligopeptide"
"363",2508870652,"ABC","membrane","glycine betaine/L-proline/carnitine/choline"
"364",2508870654,"ABC","membrane","glycine betaine/L-proline/carnitine/choline"
"365",2508870973,"ABC","membrane","branched-chain amino acid"
"367",2508871005,"ABC","membrane","branched-chain amino acid"
"368",2508871006,"ABC","membrane","branched-chain amino acid"
"369",2508871272,"ABC","membrane","amino aicd (glutamine/glutamate/aspartate)"
"374",2508871354,"ABC","membrane","D-methionine"
"375",2508871358,"ABC","membrane","manganese/zinc ion"
"376",2508871365,"ABC","membrane","glycine betaine/L-proline"
"377",2508871396,"ABC","membrane","spermidine/putrescine"
"378",2508871397,"ABC","membrane","spermidine/putrescine"
"379",2508871411,"ABC","membrane","nitrate/sulfonate/taurine"
"383",2508871604,"ABC","membrane","phosphate"
"384",2508871605,"ABC","membrane","phosphate"
"387",2508869400,"CPA3","MnhA","multicomponent sodium ion:proton antiporter"
"388",2508869502,"CPA3","MnhA","multicomponent sodium ion:proton antiporter"
"390",2508869504,"CPA3","MnhD","multicomponent sodium ion:proton antiporter"
"394",2508866766,"MOP","MVF","virulence factor MviN"
"395",2508869569,"MOP","MVF","virulence factor MviN"
"397",2508871070,"DMT","SMR","multidrug efflux (SMR)"
"398",2508870294,"TTT","TctA","tricarboxylate (TctA)"
"399",2508870292,"TTT","TctC","tricarboxylate (TctC)"
"400",2508870695,"ACR3","unknown","arsenite"
"401",2508871696,"ACR3","unknown","arsenite"
"402",2508870552,"AEC","unknown","unknown substrate"
"403",2508871618,"AGCS","unknown","sodium ion:alanine symporter"
"404",2508867689,"AI-2E","unknown","Autoinducer-2 export"
"405",2508868214,"AI-2E","unknown","Autoinducer-2 export"
"406",2508869403,"AI-2E","unknown","Autoinducer-2 export"
"407",2508870008,"AI-2E","unknown","Autoinducer-2 export"
"408",2508866152,"Amt","unknown","ammonium"
"410",2508867805,"APC","unknown","amino acid"
"411",2508868016,"APC","unknown","ethanolamine"
"412",2508871369,"APC","unknown","amino acid"
"413",2508871455,"APC","unknown","GABA"
"414",2508866462,"ArAE","unknown","fusaric acid efflux"
"416",2508869651,"ArAE","unknown","fusaric acid efflux"
"417",2508871100,"ArAE","unknown","fusaric acid efflux"
"418",2508869839,"ArsB","unknown","arsenite (ArsB)"
"420",2508869947,"BASS","unknown","sodium ion/"
"421",2508871362,"BCCT","unknown","glycine betaine/carnitine/choline"
"423",2508867360,"Bestrophin","unknown","Bestrophin anion channel"
"424",2508871620,"Bestrophin","unknown","Bestrophin anion channel"
"425",2508866722,"CaCA","unknown","proton:calcium ion antiporter"
"426",2508870550,"CaCA","unknown","sodium ion:calcium ion antiporter"
"427",2508870879,"CDF","unknown","cation efflux"
"428",2508870932,"CDF","unknown","cation efflux"
"429",2508865996,"CitMHS","unknown","proton:citrate symporter"
"430",2508870693,"ClC","unknown","chloride ion channel"
"431",2508866311,"CPA1","unknown","sodium ion:proton antiporter"
"433",2508871114,"CPA1","unknown","sodium ion:proton antiporter"
"434",2508868353,"CPA2","unknown","potassium/sodium ion:proton antiporter"
"435",2508870324,"CPA2","unknown","potassium/sodium ion:proton antiporter"
"436",2508871637,"CPA2","unknown","potassium/sodium ion:proton antiporter"
"437",2508866166,"DAACS","unknown","proton/sodium ion:glutamate/aspartate symporter"
"438",2508867669,"DAACS","unknown","proton/sodium ion:glutamate/aspartate symporter"
"441",2508866424,"DMT","unknown","drug/metabolite"
"444",2508867716,"DMT","unknown","drug/metabolite"
"445",2508868342,"DMT","unknown","drug/metabolite"
"447",2508869621,"DMT","unknown","drug/metabolite"
"449",2508870144,"DMT","unknown","drug/metabolite"
"451",2508870988,"DMT","unknown","drug/metabolite"
"452",2508869896,"DNA-T","unknown","unknown substrate"
"453",2508871715,"F-ATPase","unknown","protons"
"454",2508871716,"F-ATPase","unknown","protons"
"455",2508871717,"F-ATPase","unknown","protons"
"456",2508871718,"F-ATPase","unknown","protons"
"457",2508871719,"F-ATPase","unknown","protons"
"458",2508871720,"F-ATPase","unknown","protons"
"459",2508871721,"F-ATPase","unknown","protons"
"460",2508871722,"F-ATPase","unknown","protons"
"461",2508871723,"F-ATPase","unknown","protons"
"462",2508869318,"FNT","unknown","formate/nitrite"
"463",2508867335,"GntP","unknown","gluconate"
"464",2508869596,"GntP","unknown","gluconate"
"467",2508867007,"GUP","unknown","glycerol:proton symporter"
"468",2508867224,"GUP","unknown","glycerol:proton symporter"
"469",2508867747,"HAAAP","unknown","serine"
"470",2508867459,"HCC","unknown","heavy metal ion"
"471",2508871597,"HCC","unknown","hemolysin C (HlyC) homolog"
"472",2508867373,"IIISP","unknown","unknown substrate"
"478",2508867947,"IIISP","unknown","unknown substrate"
"479",2508867960,"IIISP","unknown","unknown substrate"
"480",2508867961,"IIISP","unknown","unknown substrate"
"481",2508867962,"IIISP","unknown","unknown substrate"
"482",2508867963,"IIISP","unknown","unknown substrate"
"483",2508867964,"IIISP","unknown","unknown substrate"
"484",2508866072,"ILT","unknown","iron ion"
"485",2508869626,"ILT","unknown","iron ion"
"486",2508869627,"ILT","unknown","iron ion"
"487",2508866477,"IVSP","unknown","unknown substrate"
"488",2508870278,"IVSP","unknown","unknown substrate"
"489",2508870940,"IVSP","unknown","unknown substrate"
"491",2508871804,"IVSP","unknown","unknown substrate"
"492",2508871806,"IVSP","unknown","unknown substrate"
"494",2508871879,"IVSP","unknown","unknown substrate"
"495",2508871882,"IVSP","unknown","unknown substrate"
"496",2508871883,"IVSP","unknown","unknown substrate"
"497",2508870048,"KUP","unknown","potassium ion uptake"
"498",2508868200,"LIVCS","unknown","branched-chain amino acid"
"500",2508866027,"MFS","unknown","multidrug efflux"
"501",2508866136,"MFS","unknown","sugar"
"502",2508866352,"MFS","unknown","multidrug efflux (EmrB/QacA subfamily)"
"503",2508866611,"MFS","unknown","multidrug efflux"
"504",2508866711,"MFS","unknown","multidrug efflux"
"505",2508866804,"MFS","unknown","multidrug efflux"
"506",2508866840,"MFS","unknown","multidrug efflux"
"507",2508866971,"MFS","unknown","multidrug efflux"
"508",2508867248,"MFS","unknown","cyanate"
"509",2508867327,"MFS","unknown","multidrug efflux"
"510",2508867351,"MFS","unknown","sugar"
"511",2508867458,"MFS","unknown","multidrug efflux"
"513",2508867600,"MFS","unknown","multidrug efflux"
"514",2508867606,"MFS","unknown","multidrug efflux"
"515",2508867705,"MFS","unknown","nitrate/nitrite"
"516",2508867807,"MFS","unknown","multidrug efflux"
"518",2508867907,"MFS","unknown","multidrug efflux"
"519",2508867912,"MFS","unknown","multidrug efflux"
"520",2508868033,"MFS","unknown","multidrug efflux"
"521",2508868092,"MFS","unknown","glycerol-3-phosphate"
"522",2508868093,"MFS","unknown","multidrug efflux"
"523",2508868174,"MFS","unknown","D-galactonate"
"525",2508868338,"MFS","unknown","metabolite (benzoate)"
"526",2508868343,"MFS","unknown","D-galactonate"
"527",2508868467,"MFS","unknown","sugar"
"528",2508868497,"MFS","unknown","metabolite (benzoate)"
"529",2508868499,"MFS","unknown","metabolite (benzoate)"
"530",2508868599,"MFS","unknown","Acetyl-CoA:CoA antiporter"
"531",2508868688,"MFS","unknown","multidrug efflux"
"532",2508868768,"MFS","unknown","multidrug efflux"
"536",2508868954,"MFS","unknown","metabolite (benzoate)"
"538",2508869085,"MFS","unknown","multidrug efflux"
"544",2508869534,"MFS","unknown","multidrug efflux"
"545",2508869619,"MFS","unknown","multidrug efflux"
"546",2508869717,"MFS","unknown","multidrug efflux"
"547",2508869735,"MFS","unknown","multidrug efflux (EmrB/QacA subfamily)"
"548",2508869781,"MFS","unknown","multidrug efflux (EmrB/QacA subfamily)"
"550",2508869840,"MFS","unknown","nitrate/nitrite"
"551",2508869842,"MFS","unknown","multidrug efflux"
"552",2508869948,"MFS","unknown","multidrug efflux"
"553",2508870046,"MFS","unknown","multidrug efflux"
"554",2508870163,"MFS","unknown","multidrug efflux"
"555",2508870261,"MFS","unknown","metabolite (benzoate)"
"556",2508870346,"MFS","unknown","multidrug efflux"
"558",2508870370,"MFS","unknown","multidrug efflux (EmrB/QacA subfamily)"
"559",2508870376,"MFS","unknown","multidrug efflux"
"561",2508870454,"MFS","unknown","Acetyl-CoA:CoA antiporter"
"562",2508870598,"MFS","unknown","multidrug efflux"
"563",2508870626,"MFS","unknown","D-galactonate"
"564",2508870732,"MFS","unknown","multidrug efflux"
"566",2508871202,"MFS","unknown","multidrug efflux"
"568",2508871331,"MFS","unknown","glycerol-3-phosphate"
"569",2508871436,"MFS","unknown","oxalate:formate antiporter"
"570",2508871607,"MFS","unknown","multidrug efflux"
"571",2508871772,"MFS","unknown","nitrate/nitrite"
"572",2508871819,"MFS","unknown","multidrug efflux"
"573",2508871851,"MFS","unknown","nitrate/nitrite"
"574",2508867837,"MgtE","unknown","magnesium ion"
"575",2508870225,"MIP","unknown","glycerol uptake"
"576",2508868054,"MIT","unknown","magnesium/cobalt ion"
"577",2508868287,"MIT","unknown","magnesium/cobalt ion"
"580",2508866002,"Mot/Exb","unknown","unknown substrate"
"581",2508866003,"Mot/Exb","unknown","unknown substrate"
"586",2508867972,"Mot/Exb","unknown","unknown substrate"
"591",2508869895,"Mot/Exb","unknown","unknown substrate"
"592",2508870026,"Mot/Exb","unknown","unknown substrate"
"593",2508870027,"Mot/Exb","unknown","unknown substrate"
"594",2508871043,"Mot/Exb","unknown","unknown substrate"
"595",2508870718,"MscL","unknown","large-conductance mechanosensitive ion channel"
"596",2508866070,"MscS","unknown","small-conductance mechanosensitive ion channel"
"597",2508866635,"MscS","unknown","small-conductance mechanosensitive ion channel"
"598",2508867564,"MscS","unknown","small-conductance mechanosensitive ion channel"
"599",2508867845,"MscS","unknown","small-conductance mechanosensitive ion channel"
"600",2508868289,"MscS","unknown","small-conductance mechanosensitive ion channel"
"602",2508870466,"MscS","unknown","small-conductance mechanosensitive ion channel"
"603",2508871115,"MscS","unknown","small-conductance mechanosensitive ion channel"
"606",2508866773,"MTB","unknown","unknown substrate"
"607",2508866778,"MTB","unknown","unknown substrate"
"608",2508866891,"MTB","unknown","unknown substrate"
"609",2508866892,"MTB","unknown","unknown substrate"
"610",2508869338,"MTB","unknown","unknown substrate"
"611",2508869339,"MTB","unknown","unknown substrate"
"613",2508871066,"NCS1","unknown","cytosine/purines/uracil/thiamine/allantoin"
"614",2508866730,"NCS2","unknown","xanthine/uracil"
"615",2508867115,"NCS2","unknown","xanthine/uracil"
"616",2508870729,"NCS2","unknown","xanthine/uracil"
"617",2508870609,"NhaA","unknown","sodium ion:proton antiporter"
"618",2508871264,"NhaA","unknown","sodium ion:proton antiporter"
"619",2508870348,"NiCoT","unknown","nickel ion"
"621",2508868498,"Nramp","unknown","manganese/iron ion"
"622",2508871482,"Nramp","unknown","manganese/iron ion"
"623",2508870590,"NSS","unknown","sodium ion:solute symporter"
"624",2508869782,"OMF","unknown","unknown substrate"
"625",2508867973,"OOP","unknown","unknown substrate"
"626",2508871042,"OOP","unknown","unknown substrate"
"627",2508866080,"OPT","unknown","oligopeptide"
"628",2508871729,"Oxa1","unknown","60 KD inner membrane protein OxaA homolog"
"629",2508866708,"P-ATPase","unknown","zinc/cadmium/cobalt ion"
"630",2508867984,"P-ATPase","unknown","zinc/cadmium/cobalt ion"
"634",2508871372,"P-ATPase","unknown","zinc/cadmium/cobalt ion"
"635",2508871650,"P-ATPase","unknown","zinc/cadmium/cobalt ion"
"636",2508869733,"PiT","unknown","phosphate"
"637",2508870382,"PiT","unknown","phosphate"
"638",2508866051,"PNaS","unknown","sodium ion:phosphate symporter"
"639",2508866071,"RhtB","unknown","amino acid efflux"
"640",2508867135,"RhtB","unknown","amino acid efflux"
"641",2508867210,"RhtB","unknown","amino acid efflux"
"645",2508869483,"RhtB","unknown","amino acid efflux"
"646",2508869869,"RhtB","unknown","amino acid efflux"
"649",2508869734,"RND","unknown","multidrug efflux"
"650",2508871192,"RND","unknown","multidrug efflux"
"651",2508866280,"SSS","unknown","sodium ion:proline symporter"
"652",2508866786,"SSS","unknown","sodium ion:proline symporter"
"653",2508866932,"SSS","unknown","sodium ion:proline symporter"
"654",2508867613,"SSS","unknown","sodium ion:proline symporter"
"655",2508867768,"SSS","unknown","sodium ion:proline symporter"
"656",2508868238,"SSS","unknown","sodium ion:proline symporter"
"657",2508869206,"SSS","unknown","sodium ion:proline symporter"
"658",2508869949,"SSS","unknown","sodium ion:proline symporter"
"659",2508870233,"SSS","unknown","sodium ion:proline symporter"
"660",2508870360,"SSS","unknown","sodium ion:proline symporter"
"661",2508870469,"SSS","unknown","sodium ion:proline symporter"
"662",2508871107,"SSS","unknown","sodium ion:proline symporter"
"663",2508871502,"SSS","unknown","sodium ion:proline symporter"
"664",2508871667,"SSS","unknown","sodium ion:proline symporter"
"665",2508866100,"SulP","unknown","sulfate"
"666",2508869256,"SulP","unknown","sulfate"
"667",2508869623,"SulP","unknown","sulfate"
"670",2508871349,"SulP","unknown","sulfate"
"671",2508871245,"Tat","unknown","protein export"
"672",2508871246,"Tat","unknown","protein export"
"673",2508871247,"Tat","unknown","protein export"
"675",2508870685,"TDT","unknown","tellurite"
"676",2508866910,"TerC","unknown","tellurium ion efflux"
"677",2508868530,"TerC","unknown","tellurium ion efflux"
"678",2508868691,"TerC","unknown","tellurium ion efflux"
"679",2508870543,"ThrE","unknown","unknown substrate"
"680",2508867025,"TRAP-T","unknown","C4-dicarboxylate"
"683",2508871039,"TRIC","unknown","unknown substrate"
"684",2508867791,"Trk","unknown","potassium ion uptake"
"685",2508866705,"UBS1","unknown","sodium ion/"
"687",2508869655,"VIC","unknown","potassium ion channel"
"688",2508869825,"VIC","unknown","potassium ion channel"
"689",2508871138,"YggT","unknown","unknown substrate"
"690",2508868041,"ZIP","unknown","zinc ion"
