"","GeneID","Type","Component","Substrate"
"394",637839404,"DAACS","Unknown","proton/sodium ion:glutamate/aspartate symporter"
"395",637840072,"DAACS","Unknown","proton/sodium ion:glutamate/aspartate symporter"
"396",637840875,"DAACS","Unknown","proton/sodium ion:glutamate/aspartate symporter"
"397",637842162,"DAACS","Unknown","proton/sodium ion:glutamate/aspartate symporter"
"398",637837891,"DMT","Unknown","drug/metabolite"
"400",637838448,"DMT","Unknown","drug/metabolite"
"402",637839540,"DMT","Unknown","drug/metabolite"
"404",637840252,"DMT","Unknown","drug/metabolite"
"405",637840394,"DMT","Unknown","drug/metabolite"
"407",637840641,"DMT","Unknown","drug/metabolite"
"408",637841040,"DMT","Unknown","drug/metabolite"
"409",637841078,"DMT","Unknown","drug/metabolite"
"410",637841687,"DMT","Unknown","drug/metabolite"
"412",637841863,"DMT","Unknown","drug/metabolite"
"414",637842460,"DMT","Unknown","drug/metabolite"
"416",637842515,"DMT","Unknown","drug/metabolite"
"417",637841559,"DNA-T","Unknown","unknown substrate"
"418",637837724,"F-ATPase","Unknown","protons"
"419",637837728,"F-ATPase","Unknown","protons"
"420",637837729,"F-ATPase","Unknown","protons"
"421",637837730,"F-ATPase","Unknown","protons"
"422",637837731,"F-ATPase","Unknown","protons"
"423",637840104,"F-ATPase","Unknown","protons"
"424",637842973,"F-ATPase","Unknown","protons"
"425",637842974,"F-ATPase","Unknown","protons"
"426",637842975,"F-ATPase","Unknown","protons"
"427",637842976,"F-ATPase","Unknown","protons"
"428",637842977,"F-ATPase","Unknown","protons"
"429",637842978,"F-ATPase","Unknown","protons"
"430",637842979,"F-ATPase","Unknown","protons"
"431",637842980,"F-ATPase","Unknown","protons"
"432",637842981,"F-ATPase","Unknown","protons"
"433",637840891,"GntP","Unknown","gluconate"
"434",637837889,"HCC","Unknown","hemolysin C (HlyC) homolog"
"435",637840809,"HCC","Unknown","heavy metal ion"
"441",637838045,"IIISP","Unknown","unknown substrate"
"442",637838050,"IIISP","Unknown","unknown substrate"
"443",637838053,"IIISP","Unknown","unknown substrate"
"444",637838054,"IIISP","Unknown","unknown substrate"
"445",637838057,"IIISP","Unknown","unknown substrate"
"446",637838058,"IIISP","Unknown","unknown substrate"
"447",637838126,"IIISP","Unknown","unknown substrate"
"448",637838133,"IIISP","Unknown","unknown substrate"
"449",637838139,"IIISP","Unknown","unknown substrate"
"450",637838140,"IIISP","Unknown","unknown substrate"
"451",637838141,"IIISP","Unknown","unknown substrate"
"452",637838142,"IIISP","Unknown","unknown substrate"
"453",637839703,"IIISP","Unknown","unknown substrate"
"456",637839873,"IIISP","Unknown","unknown substrate"
"457",637842835,"IIISP","Unknown","unknown substrate"
"458",637842836,"IIISP","Unknown","unknown substrate"
"459",637838071,"IISP","Unknown","signal recognition particle receptor alpha subunit (SR-alpha)"
"460",637839334,"ILT","Unknown","iron ion"
"461",637840000,"IRK-C","Unknown","ATP-sensitive inward rectifier potassium ion channel"
"463",637841916,"KUP","Unknown","potassium ion uptake"
"464",637839361,"LctP","Unknown","L-lactate"
"466",637837339,"LysE","Unknown","lysine efflux"
"467",637837357,"MFS","Unknown","metabolite (benzoate)"
"468",637837506,"MFS","Unknown","4-hydroxyphenylacetate"
"469",637837522,"MFS","Unknown","multidrug efflux"
"470",637837547,"MFS","Unknown","multidrug efflux"
"471",637837600,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"474",637837658,"MFS","Unknown","D-galactonate"
"478",637838118,"MFS","Unknown","multidrug efflux"
"479",637838213,"MFS","Unknown","metabolite (benzoate)"
"482",637838373,"MFS","Unknown","metabolite (benzoate)"
"486",637838465,"MFS","Unknown","sugar"
"489",637838523,"MFS","Unknown","multidrug efflux"
"490",637838543,"MFS","Unknown","multidrug efflux"
"491",637838556,"MFS","Unknown","nitrate"
"492",637838580,"MFS","Unknown","multidrug efflux"
"494",637838767,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"497",637839054,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"501",637839357,"MFS","Unknown","D-galactonate"
"502",637839373,"MFS","Unknown","nitrate/nitrite"
"509",637839587,"MFS","Unknown","D-galactonate"
"510",637839597,"MFS","Unknown","multidrug efflux"
"511",637839695,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"512",637839828,"MFS","Unknown","Acetyl-CoA:CoA antiporter"
"513",637839854,"MFS","Unknown","multidrug efflux"
"514",637839860,"MFS","Unknown","D-galactonate"
"515",637839892,"MFS","Unknown","multidrug efflux"
"516",637840172,"MFS","Unknown","multidrug efflux"
"517",637840214,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"519",637840313,"MFS","Unknown","multidrug efflux"
"521",637840425,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"522",637840548,"MFS","Unknown","4-hydroxyphenylacetate"
"523",637840553,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"525",637840666,"MFS","Unknown","multidrug efflux"
"528",637840705,"MFS","Unknown","multidrug efflux"
"531",637840946,"MFS","Unknown","multidrug efflux"
"533",637841071,"MFS","Unknown","multidrug efflux"
"534",637841072,"MFS","Unknown","multidrug efflux"
"536",637841096,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"537",637841217,"MFS","Unknown","multidrug efflux"
"538",637841246,"MFS","Unknown","multidrug efflux"
"539",637841288,"MFS","Unknown","multidrug efflux"
"543",637841623,"MFS","Unknown","multidrug efflux"
"544",637841675,"MFS","Unknown","multidrug efflux"
"547",637841884,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"548",637841966,"MFS","Unknown","D-galactonate"
"550",637842135,"MFS","Unknown","multidrug efflux"
"551",637842196,"MFS","Unknown","multidrug efflux"
"552",637842230,"MFS","Unknown","multidrug efflux (EmrB/QacA subfamily)"
"553",637842284,"MFS","Unknown","multidrug efflux"
"554",637842299,"MFS","Unknown","multidrug efflux"
"556",637842353,"MFS","Unknown","metabolite (benzoate)"
"557",637842383,"MFS","Unknown","multidrug efflux"
"558",637842454,"MFS","Unknown","multidrug efflux"
"559",637842461,"MFS","Unknown","multidrug efflux"
"560",637842505,"MFS","Unknown","multidrug efflux"
"565",637840271,"MIP","Unknown","glycerol uptake"
"566",637842856,"MIP","Unknown","glycerol uptake"
"567",637841980,"MIT","Unknown","magnesium/cobalt ion"
"568",637839281,"MOP","Unknown","multidrug efflux"
"571",637839326,"Mot/Exb","Unknown","unknown substrate"
"572",637839327,"Mot/Exb","Unknown","unknown substrate"
"573",637839814,"Mot/Exb","Unknown","unknown substrate"
"574",637840881,"Mot/Exb","Unknown","unknown substrate"
"576",637841047,"Mot/Exb","Unknown","unknown substrate"
"577",637841048,"Mot/Exb","Unknown","unknown substrate"
"578",637842851,"Mot/Exb","Unknown","unknown substrate"
"579",637841748,"MscL","Unknown","large-conductance mechanosensitive ion channel"
"580",637840447,"MscS","Unknown","small-conductance mechanosensitive ion channel"
"581",637840994,"MscS","Unknown","small-conductance mechanosensitive ion channel"
"582",637841829,"MscS","Unknown","small-conductance mechanosensitive ion channel"
"586",637839682,"MTB","Unknown","unknown substrate"
"587",637839684,"MTB","Unknown","unknown substrate"
"588",637840806,"MTB","Unknown","unknown substrate"
"590",637837933,"NCS1","Unknown","cytosine/purines/uracil/thiamine/allantoin"
"591",637838942,"NCS1","Unknown","cytosine/purines/uracil/thiamine/allantoin"
"592",637841734,"NCS1","Unknown","cytosine/purines/uracil/thiamine/allantoin"
"593",637839115,"NCS2","Unknown","xanthine/uracil"
"594",637839925,"NCS2","Unknown","xanthine/uracil"
"596",637840679,"NCS2","Unknown","xanthine/uracil"
"598",637842078,"NiCoT","Unknown","nickel ion"
"600",637839942,"Nramp","Unknown","manganese/iron ion"
"601",637841944,"Nramp","Unknown","manganese/iron ion"
"602",637842356,"Nramp","Unknown","manganese/iron ion"
"609",637839187,"OOP","Unknown","unknown substrate"
"610",637840099,"OOP","Unknown","unknown substrate"
"611",637842850,"OOP","Unknown","unknown substrate"
"612",637842523,"OPT","Unknown","oligopeptide"
"613",637842901,"Oxa1","Unknown","60 KD inner membrane protein OxaA homolog"
"615",637838611,"P-ATPase","Unknown","calcium ion/manganese ion"
"616",637838613,"P-ATPase","Unknown","plasma proton"
"617",637838720,"P-ATPase","Unknown","magnesium ion"
"618",637838922,"P-ATPase","Unknown","zinc/cadmium/cobalt ion"
"619",637839077,"P-ATPase","Unknown","calcium ion"
"620",637839469,"P-ATPase","Unknown","zinc/cadmium/cobalt ion"
"621",637839956,"P-ATPase","Unknown","zinc/cadmium/cobalt ion"
"622",637840693,"P-ATPase","Unknown","potassium ion"
"623",637840694,"P-ATPase","Unknown","potassium ion"
"624",637840695,"P-ATPase","Unknown","potassium ion"
"625",637842956,"P-ATPase","Unknown","zinc/cadmium/cobalt ion"
"626",637838110,"PiT","Unknown","phosphate"
"627",637841854,"PiT","Unknown","phosphate"
"628",637839522,"POT","Unknown","proton:dipeptide/tripeptide symporter"
"629",637837359,"RhtB","Unknown","amino acid efflux"
"630",637837877,"RhtB","Unknown","amino acid efflux"
"631",637837882,"RhtB","Unknown","amino acid efflux"
"633",637838827,"RhtB","Unknown","amino acid efflux"
"635",637839803,"RhtB","Unknown","amino acid efflux"
"637",637840167,"RhtB","Unknown","amino acid efflux"
"638",637841098,"RhtB","Unknown","amino acid efflux"
"640",637842450,"RhtB","Unknown","amino acid efflux"
"641",637842656,"RhtB","Unknown","neutral amino acid/multiple antibiotic resistance"
"642",637842787,"RhtB","Unknown","amino acid efflux"
"643",637842867,"RhtB","Unknown","amino acid efflux"
"644",637839316,"SSS","Unknown","sodium ion:proline symporter"
"645",637839807,"SSS","Unknown","sodium ion:proline symporter"
"647",637840073,"SSS","Unknown","sodium ion:proline symporter"
"648",637840287,"SSS","Unknown","sodium ion:proline symporter"
"649",637840632,"SSS","Unknown","sodium ion:proline symporter"
"650",637841532,"SSS","Unknown","sodium ion:proline symporter"
"651",637842305,"SSS","Unknown","sodium ion:proline symporter"
"652",637842435,"SSS","Unknown","sodium ion:proline symporter"
"653",637839616,"SulP","Unknown","sulfate"
"654",637840723,"SulP","Unknown","sulfate"
"655",637842193,"SulP","Unknown","sulfate"
"656",637842646,"Tat","Unknown","protein export"
"657",637842647,"Tat","Unknown","protein export"
"658",637842648,"Tat","Unknown","protein export"
"659",637838917,"TDT","Unknown","tellurite"
"661",637840321,"TerC","Unknown","tellurium ion efflux"
"665",637840484,"TRAP-T","Unknown","C4-dicarboxylate"
"667",637841229,"TRIC","Unknown","unknown substrate"
"668",637838762,"VIC","Unknown","potassium ion channel"
"669",637841194,"YggT","Unknown","unknown substrate"
